StateName,STATEFIP,PUMA,GISJOIN,GISMATCH,CountyCode,CountyName,Subregion
New Jersey,34,1301,G34001301,3401301,34013,Essex,NJIn
New Jersey,34,1302,G34001302,3401302,34013,Essex,NJIn
New Jersey,34,1401,G34001401,3401401,34013,Essex,NJIn
New Jersey,34,1402,G34001402,3401402,34013,Essex,NJIn
New Jersey,34,1403,G34001403,3401403,34013,Essex,NJIn
New Jersey,34,1404,G34001404,3401404,34013,Essex,NJIn
New Jersey,34,1501,G34001501,3401501,34027,Morris,NJIn
New Jersey,34,1502,G34001502,3401502,34027,Morris,NJIn
New Jersey,34,1503,G34001503,3401503,34027,Morris,NJIn
New Jersey,34,1504,G34001504,3401504,34027,Morris,NJIn
New Jersey,34,1600,G34001600,3401600,34037,Sussex,NJOut
New Jersey,34,1700,G34001700,3401700,34041,Warren,NJOut
New Jersey,34,1800,G34001800,3401800,34039,Union,NJIn
New Jersey,34,1901,G34001901,3401901,34039,Union,NJIn
New Jersey,34,1902,G34001902,3401902,34039,Union,NJIn
New Jersey,34,1903,G34001903,3401903,34039,Union,NJIn
New Jersey,34,2301,G34002301,3402301,34021,Mercer,NJOut
New Jersey,34,2302,G34002302,3402302,34021,Mercer,NJOut
New York,36,3101,G36003101,3603101,3610536111,Sullivan-Ulster,MidHV
New York,36,3102,G36003102,3603102,36111,Ulster,MidHV
New York,36,3201,G36003201,3603201,36027,Dutchess,MidHV
New York,36,3202,G36003202,3603202,36027,Dutchess,MidHV
New York,36,3301,G36003301,3603301,36071,Orange,MidHV
New York,36,3302,G36003302,3603302,36071,Orange,MidHV
New York,36,3303,G36003303,3603303,36071,Orange,MidHV
New York,36,3400,G36003400,3603400,36119,Westchester,LowHV
New York,36,3501,G36003501,3603501,36119,Westchester,LowHV
New York,36,3502,G36003502,3603502,36119,Westchester,LowHV
New York,36,3503,G36003503,3603503,36119,Westchester,LowHV
New York,36,3504,G36003504,3603504,36119,Westchester,LowHV
New York,36,3505,G36003505,3603505,36119,Westchester,LowHV
New York,36,3506,G36003506,3603506,36079,Putnam,LowHV
New York,36,3601,G36003601,3603601,36087,Rockland,LowHV
New York,36,3602,G36003602,3603602,36087,Rockland,LowHV
New York,36,3701,G36003701,3603701,36005,Bronx,NYC
New York,36,3702,G36003702,3603702,36005,Bronx,NYC
New York,36,3703,G36003703,3603703,36005,Bronx,NYC
New York,36,3704,G36003704,3603704,36005,Bronx,NYC
New York,36,3705,G36003705,3603705,36005,Bronx,NYC
New York,36,3706,G36003706,3603706,36005,Bronx,NYC
New York,36,3707,G36003707,3603707,36005,Bronx,NYC
New York,36,3708,G36003708,3603708,36005,Bronx,NYC
New York,36,3709,G36003709,3603709,36005,Bronx,NYC
New York,36,3710,G36003710,3603710,36005,Bronx,NYC
